cnpj_coop,nome_coop,naturezaJuridica,classe,situacao,regimeEspecial,logradouro,complemento,bairro,municipio,uf,cep,endereco_eletronico,email,segmento_prudencial,filiacao
22656789,COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE,Sociedade Cooperativa,,Autorizada em Atividade,false,R PASCHOAL BERNARDINO  101,,CENTRO,MURIAE,MG,36880049,esfeliz311800@sicoobcrediminas.com.br,esfeliz311800@sicoobcrediminas.com.br,S5,
5463934,COOPERATIVA DE CREDITO CREDLIDER - SICOOB CREDLIDER,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SAO PAULO  3069,TERREO,CENTRO,VOTUPORANGA,SP,15500010,credlider@credlider.coop.br,credlider@credlider.coop.br,S5,
1009908,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA BENEDITO VALADARES 51,,CENTRO,PARA DE MINAS,MG,35660630,ascicred@ascicred.com.br,ascicred@ascicred.com.br,S5,
4181542,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PITANGUI E REGIAO LTDA. - SICOOB CREDPIT,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  LIMA GUIMARAES  39,,CENTRO,PITANGUI,MG,35650000,credpit@credpit.com.br,credpit@credpit.com.br,S5,
73422792,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE RUBIATABA E REGIAO LTDA,Sociedade Cooperativa,,Autorizada em Atividade,false,"AV. AROEIRA, 880",,SETOR AEROPORTO,RUBIATABA,GO,76350000,rubiataba@sicoobrubiataba.com.br,rubiataba@sicoobrubiataba.com.br,S5,
2173447,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO CENTRO NORDESTE MINEIRO LTDA - SICOOB CREDICENM,Sociedade Cooperativa,,Autorizada em Atividade,false,PRACA JK 333,,CENTRO,GUANHAES,MG,39740000,credicenm@credicenm.com.br,credicenm@credicenm.com.br,S5,
19869338,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  CASTELO BRANCO  582,A,HORTO,IPATINGA,MG,35160294,sicoobvaledoaco@sicoobvaledoaco.com.br,sicoobvaledoaco@sicoobvaledoaco.com.br,S5,
42887133,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO,Sociedade Cooperativa,,Autorizada em Atividade,false,PRACA BENJAMIM GUIMARAES,109,CENTRO,BOM SUCESSO,MG,37220000,bsucesso310000@sicoobcrediminas.com.br,bsucesso310000@sicoobcrediminas.com.br,S5,
81014060,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA JOAO PESSOA  1 490,CENTRO,CENTRO,PINHALZINHO,SC,89870000,carlos@creditaipu.com.br,carlos@creditaipu.com.br,S5,
64480833,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE MARTINHO CAMPOS LTDA - SICOOB CREDIMAC,Sociedade Cooperativa,,Autorizada em Atividade,false,"PRACA GOVERNADOR VALADARES, 142",,CENTRO,MARTINHO CAMPOS,MG,35606000,mcampos314100@sicoobcrediminas.com.br,mcampos314100@sicoobcrediminas.com.br,S5,
1604998,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA DR  FERNANDO LEMOS  45,,CENTRO,SAO GONCALO DO SAPUCAI,MG,37490000,sgsapucai316900@sicoobcrediminas.com.br,sgsapucai316900@sicoobcrediminas.com.br,S5,
25404542,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  MANOEL ATHAIDE,713   1 ANDAR,CENTRO,JANAUBA,MG,39440000,janauba313400@sicoobcrediminas.com.br,janauba313400@sicoobcrediminas.com.br,S5,
968602,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO SÃO PATRICIO LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  BRASIL N  330,,CENTRO,GOIANESIA,GO,76380070,coopercred@sicoobgoias.com.br,coopercred@sicoobgoias.com.br,S5,
25387671,COOPERATIVA DE CREDITO DO ALTO PARANAIBA E REGIÃO LTDA. - SICOOB CREDIPATOS,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA MAJOR GOTE,1699,CENTRO,PATOS DE MINAS,MG,38700001,patominas315400@sicoobcrediminas.com.br,patominas315400@sicoobcrediminas.com.br,S5,
8044854,COOPERATIVA DE CREDITO DO CENTRO DO ESTADO DE RONDONIA - SICOOB CENTRO,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA MANOEL FRANCO, 1050",,NOVA BRASILIA,JI-PARANA,RO,76908442,graeffegraeff@uol.com.br,graeffegraeff@uol.com.br,S5,
14913919,COOPERATIVA DE CREDITO DO MERCADO IMOBILIÁRIO - SICOOB IMOB.VC,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SERGIPE  1000,,SAVASSI,BELO HORIZONTE,MG,30130174,,,S5,
3033469,COOPERATIVA DE CREDITO DO PLANALTO SUL - SICOOB CREDISSERRANA,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  LUIZ DE CAMOES 243,,CORAL,LAGES,SC,88523000,credisserrana@iscc.com.br,credisserrana@iscc.com.br,S5,
53776852,COOPERATIVA DE CREDITO DOS FORNECEDORES DE CANA E DEMAIS PRODUTORES RURAIS DO CENTRO DO ESTADO DE SAO PAULO - CREDICENTRO,Sociedade Cooperativa,,Autorizada em Atividade,false,"AVENIDA CIENTISTA FREDERICO DE MARCO, 21",,VILA XAVIER,ARARAQUARA,SP,14810185,credi-centro@uol.com.br,credi-centro@uol.com.br,S5,
27302181,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  MARECHAL CAMPOS  1355,,SANTA CECILIA,VITORIA,ES,29043260,credufes@credufes.coop.br,credufes@credufes.coop.br,S5,
4281182,COOPERATIVA DE CREDITO E ECONOMIA COM INTERACAO SOLIDARIA DE CHAPECO - CRESOL CHAPECO,Sociedade Cooperativa,,Autorizada em Atividade,false,AV  PORTO ALEGRE  223,E   SALAS 101  201  303 E 403,CENTRO,CHAPECO,SC,89802132,chapeco@cresolcentral.com.br,chapeco@cresolcentral.com.br,S5,
5410056,COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA - CRESOL LITORAL,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA DUQUE DE CAXIAS 378,,CENTRO,JAGUARUNA,SC,88715000,jaguaruna@cresolcentral.com.br,jaguaruna@cresolcentral.com.br,S5,
9488496,COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDARIA - CRESOL SÃO JOÃO DO SUL,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA ANSELMO BORBA  N  406,SALA 02,CENTRO,SAO JOAO DO SUL,SC,88970000,saojoaodosul@cresolcentral.com.br,saojoaodosul@cresolcentral.com.br,S5,
9463721,COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL JACINTO MACHADO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA POOL JORGE ZACCA  N  135,,CENTRO,JACINTO MACHADO,SC,88950000,jacintomachado@cresolcentral.com.br,jacintomachado@cresolcentral.com.br,S5,
7958405,COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL SERRA MAR,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA JORGE LACERDA  294,SALA 01,CENTRO,RIO FORTUNA,SC,88760000,riofortuna@cresolcentral.com.br,riofortuna@cresolcentral.com.br,S5,
9330158,COOPERATIVA DE CREDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA - CRESOL TREZE DE MAIO,Sociedade Cooperativa,,Autorizada em Atividade,false,RUA OLINDO NANDI  70,,CENTRO,TREZE DE MAIO,SC,88710000,trezedemaio@cresolcentral.com.br,trezedemaio@cresolcentral.com.br,S5,
971300,COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA 28 DE NOVEMBRO  71,CENTRO,CENTRO,DOIS VIZINHOS,PR,85660000,doisvizinhos@cresol.com.br,doisvizinhos@cresol.com.br,S5,
59869560,COOPERATIVA DE CREDITO NOSSO - SICOOB NOSSO,Sociedade Cooperativa,,Autorizada em Atividade,false,AL  DR  ARMANDO SALLES DE OLIVEIRA  N  446,,CENTRO,ADAMANTINA,SP,17800000,cocrealpa@cocrealpa.com.br,cocrealpa@cocrealpa.com.br,S5,
2382755,COOPERATIVA DE CREDITO POTIGUAR - SICOOB POTIGUAR,Sociedade Cooperativa,,Autorizada em Atividade,false,TRAVESSA DOIS DE NOVEMBRO  430,,ALECRIM,NATAL,RN,59030170,credipol@terra.com.br,credipol@terra.com.br,S5,
63229629,COOPERATIVA DE CREDITO RURAL ASCOOB SISAL,Sociedade Cooperativa,,Autorizada em Atividade,false,"AV. MANOEL NOVAIS, 485",,CENTRO,SERRINHA,BA,48700000,serrinha@ascoobcentral.com.br,serrinha@ascoobcentral.com.br,S5,
32422628,COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA BOM JESUS DO LIVRAMENTO, 25",,CENTRO,GUACUI,ES,29560000,coopcredi@yahoo.com.br,coopcredi@yahoo.com.br,S5,
8240446,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA 20 DE JULHO,830,CENTRO,IBIAM,SC,89652000,ibiam@cresol.com.br,ibiam@cresol.com.br,S5,
204963,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA BEIRA RIO 06,,CENTRO,SEARA,SC,89770000,seara@cresolcentral.com.br,seara@cresolcentral.com.br,S5,
32615247,COOPERATIVA DE CREDITO SICOOB COOPEC LTDA.,Sociedade Cooperativa,,Autorizada em Atividade,false,AVENIDA DO CINQUENTENaRIO,1  E 2  ANDAR,CENTRO,ITABUNA,BA,45600006,coopec@ceplac.gov.br,coopec@ceplac.gov.br,S5,
82639451,COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,Sociedade Cooperativa,,Autorizada em Atividade,false,"RUA HERMANN HERING,1125",,BOM RETIRO,BLUMENAU,SC,89010675,viacredi@viacredi.coop.br,viacredi@viacredi.coop.br,S3,
72128440,"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO DO RIO DE JANEIRO - SICREDI RIO RJ",Sociedade Cooperativa,,Autorizada em Atividade,false,RUA SOROCABA  500,,BOTAFOGO,RIO DE JANEIRO,RJ,22271110,contabilidade@unicredrio.com.br,contabilidade@unicredrio.com.br,S4,
